Monthly,,
,Mkt-RF,RF
192607,2.96,0.22
192608,2.64,0.25
192609,0.36,0.23
192610,-3.24,0.32
192611,2.53,0.31
192612,2.62,0.28
192701,-0.06,0.25
192702,4.18,0.26
192703,0.13,0.3
192704,0.46,0.25
192705,5.44,0.3
192706,-2.34,0.26
192707,7.26,0.3
192708,1.97,0.28
192709,4.76,0.21
192710,-4.31,0.25
192711,6.58,0.21
192712,2.09,0.22
192801,-0.68,0.25
192802,-1.7,0.33
192803,8.81,0.29
192804,4.23,0.22
192805,1.52,0.32
192806,-4.85,0.31
192807,0.62,0.32
192808,6.68,0.32
192809,2.88,0.27
192810,1.33,0.41
192811,11.81,0.38
192812,0.36,0.06
192901,4.66,0.34
192902,-0.34,0.36
192903,-0.89,0.34
192904,1.43,0.36
192905,-6.39,0.44
192906,9.7,0.52
192907,4.46,0.33
192908,8.18,0.4
192909,-5.47,0.35
192910,-20.12,0.46
192911,-12.74,0.37
192912,1.33,0.37
193001,5.61,0.14
193002,2.5,0.3
193003,7.1,0.35
193004,-2.06,0.21
193005,-1.66,0.26
193006,-16.27,0.27
193007,4.12,0.2
193008,0.3,0.09
193009,-12.75,0.22
193010,-8.78,0.09
193011,-3.04,0.13
193012,-7.83,0.14
193101,6.24,0.15
193102,10.88,0.04
193103,-6.43,0.13
193104,-9.98,0.08
193105,-13.24,0.09
193106,13.9,0.08
193107,-6.62,0.06
193108,0.41,0.03
193109,-29.13,0.03
193110,8.04,0.1
193111,-9.08,0.17
193112,-13.53,0.12
193201,-1.58,0.23
193202,5.46,0.23
193203,-11.21,0.16
193204,-17.96,0.11
193205,-20.51,0.06
193206,-0.7,0.02
193207,33.84,0.03
193208,37.06,0.03
193209,-2.94,0.03
193210,-13.17,0.02
193211,-5.88,0.02
193212,4.4,0.01
193301,1.25,0.01
193302,-15.24,-0.03
193303,3.29,0.04
193304,38.85,0.1
193305,21.43,0.04
193306,13.11,0.02
193307,-9.63,0.02
193308,12.05,0.03
193309,-10.65,0.02
193310,-8.36,0.01
193311,9.97,0.02
